prodi,kode_mk,nama mata kuliah,semester mk,sks,metode
Hukum,HKA508,Hukum Pajak,Ganjil 2024/2025,2,Biasa
Hukum,HKF508,Metode Penelitian Dan Penulisan Hukum,Ganjil 2024/2025,2,Biasa
Hukum,HKN507,Praktik Peradilan Pidana,Ganjil 2024/2025,2,Biasa
Hukum,HKT507,Perancangan Perundangan- Undangan,Ganjil 2024/2025,2,Biasa
Hukum,HKP512,Praktik Peradilan Perdata,Ganjil 2024/2025,2,Biasa
Hukum,HKT505,Politik Hukum,Ganjil 2024/2025,2,Biasa
Hukum,HKT506,Pratik Peradilan Mahkamah Konstitusi,Ganjil 2024/2025,2,Biasa
Hukum,HKF511,Filsafat Hukum,Ganjil 2024/2025,2,Biasa
Hukum,HKP511,Hukum Adat Minangkabau,Ganjil 2024/2025,2,Biasa
Hukum,HKF,Etika Profesi Hukum,Ganjil 2024/2025,2,Biasa
Hukum,HKF710,Kkn,Ganjil 2024/2025,2,Biasa
Hukum,HKF813,Tugas Akhir,Ganjil 2024/2025,4,Biasa
Ilmu Biomedis,MWU60104,Bahasa Indonesia,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1023,Bioetik Akademik Dan Penelitian Biomedis,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1062,Biologi Sel,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM1022,Dasar Management,Ganjil 2024/2025,1,Biasa
Ilmu Biomedis,BIM1042,Fisika Medis,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM1052,Kimia Medis,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM1013,Lab Biosafety Dan Keselamatan Kerja Laboratorium,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1032,Matematika,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1011,Pendidikan Agama,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM1012,Pengenalan Ilmu Biomedis,Ganjil 2024/2025,1,Biasa
Ilmu Biomedis,BIM3132,Biokimia 2,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM4182,Biologi Molekuler Dan Seluler Ii,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM3033,Bisnis Dan Industri Biomedis,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM3162,Dasar Patologi Anatomi,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM3142,Fisiologi Manusia,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM3014,Interaksi Kimia Dan Molekuler Obat,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM2072,Natural Produk Dan Kimia Obat,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM3024,Toksikologi,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM5064,Analisis Imuno Dan Molekuler Parasit,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM4192,Biostatistik,Ganjil 2024/2025,3,Biasa
Ilmu Biomedis,BIM5094,Bioteknologi Medis,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM5061,Dasar Komunikasi,Ganjil 2024/2025,1,Biasa
Ilmu Biomedis,BIM6063,Hematologi,Ganjil 2024/2025,2,Biasa
Ilmu Biomedis,BIM9016,Kanker: Patologi Dan Molekuler (Molekuler Onkologi),Ganjil 2024/2025,1,Biasa
Ilmu Biomedis,KEWIRAUSAHAAN,Kewirausahaan,Ganjil 2024/2025,3,Biasa
